Subject,EAR,Person Status,Person Type
10,0.11574396842503712,awake,glasses
10,0.13729551550258828,awake,glasses
10,0.10329134491091188,awake,glasses
10,0.12414962023950898,awake,glasses
10,0.09785139024970732,awake,glasses
10,0.1349658151733841,awake,glasses
10,0.08195635939373402,awake,glasses
10,0.13062590296555737,awake,glasses
10,0.15890983159384997,awake,glasses
10,0.17450057389281243,awake,glasses
10,0.14155562646434794,awake,glasses
10,0.17386722912890346,awake,glasses
10,0.15415564108084834,awake,glasses
10,0.17408356429686608,awake,glasses
10,0.15200829126074972,awake,glasses
10,0.15772699820867278,awake,glasses
10,0.1400931879189681,awake,glasses
10,0.15021508272887066,awake,glasses
10,0.11854701667862817,awake,glasses
10,0.14931763689449606,awake,glasses
10,0.13958828036348975,awake,glasses
10,0.13577463909605503,awake,glasses
10,0.1011089876308183,awake,glasses
10,0.13592660948313987,awake,glasses
10,0.14810968696875298,awake,glasses
10,0.15569876289549328,awake,glasses
10,0.10030403316979022,awake,glasses
10,0.15592579778205923,awake,glasses
10,0.12379432147246569,awake,glasses
10,0.1424067928485998,awake,glasses
10,0.11865075052053334,awake,glasses
10,0.137105999634195,awake,glasses
10,0.1232792050179759,awake,glasses
10,0.1532823161924958,awake,glasses
10,0.11427827313744707,awake,glasses
10,0.12447065895496301,awake,glasses
10,0.12290359860402666,awake,glasses
10,0.1746282838558986,awake,glasses
10,0.09044132671302313,awake,glasses
10,0.11865075052053334,awake,glasses
10,0.1463567674045692,awake,glasses
10,0.17171396323648008,awake,glasses
10,0.11468779193856307,awake,glasses
10,0.12247161006971241,awake,glasses
10,0.15602188065053846,awake,glasses
10,0.1810056813993875,awake,glasses
10,0.1017143242084447,awake,glasses
10,0.10233451367198554,awake,glasses
10,0.14995743155229896,awake,glasses
10,0.14074428831916017,awake,glasses
10,0.12361129341414909,awake,glasses
10,0.0855181090623354,awake,glasses
10,0.1280084472459624,awake,glasses
10,0.15236094247711301,awake,glasses
10,0.1349085479406265,awake,glasses
10,0.08610823770023454,awake,glasses
10,0.31080133883985295,awake,glasses
10,0.2305713547537755,awake,glasses
10,0.19532433673647054,awake,glasses
10,0.1626335667689143,awake,glasses
10,0.3197398233465676,awake,glasses
10,0.22255775610793488,awake,glasses
10,0.27348951458358833,awake,glasses
10,0.16276482204254172,awake,glasses
10,0.22850671787170973,awake,glasses
10,0.25526866958285294,awake,glasses
10,0.20113246472131832,awake,glasses
10,0.22010884419329096,awake,glasses
10,0.2855000697319634,awake,glasses
10,0.259420251225634,awake,glasses
10,0.23317257123635737,awake,glasses
10,0.21106995694266217,awake,glasses
10,0.13806723586563185,awake,glasses
10,0.13970738139294325,awake,glasses
10,0.1198092803552431,awake,glasses
10,0.13284461944252796,awake,glasses
10,0.16115746906928533,awake,glasses
10,0.13787978618770685,awake,glasses
10,0.13037017102855497,awake,glasses
10,0.09311783475316837,awake,glasses
10,0.12402476648055599,awake,glasses
10,0.13014882949822676,awake,glasses
10,0.11288967431578273,awake,glasses
10,0.1482527908740758,awake,glasses
10,0.13128433645880025,awake,glasses
10,0.1373032871825754,awake,glasses
10,0.1240740056227387,awake,glasses
10,0.10048830315199217,awake,glasses
10,0.07935586130488431,awake,glasses
10,0.14267814304265392,awake,glasses
10,0.0809576860776792,awake,glasses
10,0.13846128692060367,awake,glasses
10,0.11789123437921012,awake,glasses
10,0.16435385699762411,awake,glasses
10,0.10144610275974641,awake,glasses
10,0.12026196782238369,awake,glasses
10,0.1253241025693687,awake,glasses
10,0.16237247816034012,awake,glasses
10,0.13027008603839277,awake,glasses
10,0.18218268409738037,awake,glasses
10,0.12279319471384181,awake,glasses
10,0.13148493079487106,awake,glasses
10,0.12973617336614865,awake,glasses
10,0.12256968273594313,awake,glasses
10,0.0999231591158304,awake,glasses
10,0.14345581551013262,awake,glasses
10,0.04476758523706372,awake,glasses
10,0.1404877476161835,awake,glasses
10,0.0861786593166774,awake,glasses
10,0.08900379978139292,awake,glasses
10,0.05851134905710737,awake,glasses
10,0.09244032429207544,awake,glasses
10,0.11020362765468705,awake,glasses
10,0.14387365067053798,awake,glasses
10,0.10854419114358202,awake,glasses
10,0.1340382523100497,awake,glasses
10,0.12071832625458845,awake,glasses
10,0.1316577513009226,awake,glasses
10,0.11649970716786374,awake,glasses
10,0.1287857882527048,awake,glasses
10,0.13213418588562675,awake,glasses
10,0.1674468826954942,awake,glasses
10,0.11579853069908189,awake,glasses
10,0.12564624641674974,awake,glasses
10,0.14095286177753613,awake,glasses
10,0.13958828036348975,awake,glasses
10,0.12136225010162299,awake,glasses
10,0.12028865688516832,awake,glasses
10,0.15505741593976857,awake,glasses
10,0.1798906121066477,awake,glasses
10,0.12065775018019612,awake,glasses
10,0.168205225464843,awake,glasses
10,0.12984903018297583,awake,glasses
10,0.18952817568294905,awake,glasses
10,0.12827489978304085,awake,glasses
10,0.16435124492218317,awake,glasses
10,0.16383771553267454,awake,glasses
10,0.1429190272669706,awake,glasses
10,0.14968056130734825,awake,glasses
10,0.1221836144980687,awake,glasses
10,0.1563021794208384,awake,glasses
10,0.14365351631965584,awake,glasses
10,0.13995886459015972,awake,glasses
10,0.10668494546594054,awake,glasses
10,0.1443472071396905,awake,glasses
10,0.15091557009060777,awake,glasses
10,0.11123945236016153,awake,glasses
10,0.1313132778800694,awake,glasses
10,0.13112415529576835,awake,glasses
10,0.11260480937522904,awake,glasses
10,0.15009709028973345,awake,glasses
10,0.11673343138087744,awake,glasses
10,0.12847284934109218,awake,glasses
10,0.15048915148655978,awake,glasses
10,0.12153507613962417,awake,glasses
10,0.1346123873556356,awake,glasses
10,0.1354676597473088,awake,glasses
10,0.15779429987047597,awake,glasses
10,0.13131990706465121,awake,glasses
10,0.09668490049279152,awake,glasses
10,0.10760076134833829,awake,glasses
10,0.15038759767191612,awake,glasses
10,0.09718724628537556,awake,glasses
10,0.11232742292787352,awake,glasses
10,0.12512123139270964,awake,glasses
10,0.1552347231790345,awake,glasses
10,0.08931532234942331,awake,glasses
10,0.13272769329692552,awake,glasses
10,0.11861258930802315,awake,glasses
10,0.18374016336589805,awake,glasses
10,0.054883436988696216,awake,glasses
10,0.13688650602167365,awake,glasses
10,0.1233488334680286,awake,glasses
10,0.15192076310289776,awake,glasses
10,0.08399674561596727,awake,glasses
10,0.13685493772383722,awake,glasses
10,0.11518583218588299,awake,glasses
10,0.13430761339162972,awake,glasses
10,0.09510685822588437,awake,glasses
10,0.1076118011646507,awake,glasses
10,0.11232697727196816,awake,glasses
10,0.11621334500156712,awake,glasses
10,0.11988731994837373,awake,glasses
10,0.08775825117648577,awake,glasses
10,0.12241772195509011,awake,glasses
10,0.15339299776947407,awake,glasses
10,0.11184688584108451,awake,glasses
10,0.1550180355731998,awake,glasses
10,0.11106584640734404,awake,glasses
10,0.1544582222361938,awake,glasses
10,0.09435551564455497,awake,glasses
10,0.10374198246838126,awake,glasses
10,0.17829587824782764,awake,glasses
10,0.18597663119648944,awake,glasses
10,0.16398576765591927,awake,glasses
10,0.15448177138949504,awake,glasses
10,0.19338374398410235,awake,glasses
10,0.19849138629515609,awake,glasses
10,0.18689630227563195,awake,glasses
10,0.1536506236743137,awake,glasses
10,0.1519379523172934,awake,glasses
10,0.14058617515284993,awake,glasses
10,0.14490953229906783,awake,glasses
10,0.1121573094424026,awake,glasses
10,0.15445766319384469,awake,glasses
10,0.13583607383517182,awake,glasses
10,0.1349905046325443,awake,glasses
10,0.11225288190928502,awake,glasses
10,0.17732667927876394,awake,glasses
10,0.15826832170232463,awake,glasses
10,0.16265548149247636,awake,glasses
10,0.14850700807484823,awake,glasses
10,0.16916422208002269,awake,glasses
10,0.14772344870997145,awake,glasses
10,0.15703089847396384,awake,glasses
10,0.15230009576051118,awake,glasses
10,0.11924117019188993,awake,glasses
10,0.14527388856357937,awake,glasses
10,0.1071021080299174,awake,glasses
10,0.11645381696606687,awake,glasses
10,0.128525836469856,awake,glasses
10,0.11664429631246638,awake,glasses
10,0.0972149887266782,awake,glasses
10,0.09797548268267028,awake,glasses
10,0.13181303327145266,awake,glasses
10,0.1386514260169422,awake,glasses
10,0.11369594023207885,awake,glasses
10,0.1276115430828249,awake,glasses
10,0.1131560036242471,awake,glasses
10,0.15443362251060383,awake,glasses
10,0.11290765232526356,awake,glasses
10,0.08780954953530812,awake,glasses
10,0.10490611330759494,awake,glasses
10,0.13715952771389425,awake,glasses
10,0.0914766756227449,awake,glasses
10,0.12237116877554963,awake,glasses
10,0.12947333906293587,awake,glasses
10,0.12205002962422831,awake,glasses
10,0.09526517173357778,awake,glasses
10,0.1220938069998458,awake,glasses
10,0.12599006230861087,awake,glasses
10,0.1832944545853607,awake,glasses
10,0.11320998583489648,awake,glasses
10,0.18217807508363565,awake,glasses
10,0.12743171627445649,awake,glasses
10,0.16843531055351132,awake,glasses
10,0.13997968770827135,awake,glasses
10,0.16189670869519968,awake,glasses
10,0.12266320515440221,awake,glasses
10,0.18811268258020136,awake,glasses
